black_rollouts,white_rollouts,result,duration_iters
19887,117803,0,24
30801,413271,0,24
426798,58809,1,29
231753,500134,1,25
142301,73928,0,26
860260,208799,1,23
1008305,908962,0,22
108801,659527,0,32
31245,18745,1,31
1308338,1193210,0,22
198973,1442952,0,36
25829,34853,0,36
849719,939550,0,28
32677,2670581,0,28
989789,372197,1,23
3934482,20271,1,23
171102,2021843,0,22
29878,133404,0,22
27323,5452166,0,22
241965,29813,1,23
6121913,63841,1,21
117070,840939,0,22
4559864,52319,1,21
14769,2540494,0,24
169815,46084,1,27
153929,1539152,0,22
1908255,4885583,0,22
60180,5156050,0,32
201067,7496476,0,22
524434,586175,0,22
1054515,5995053,0,36
44559,97324,0,24
359838,3902262,0,32
9158401,102553,1,21
12135468,736748,1,21
103270,671319,1,23
6774061,25821,1,25
506058,40656,1,21
29919,65396,0,32
8989311,1816754,1,21
371627,3107747,0,22
26925,79148,1,39
2601082,805496,1,41
181419,415290,1,21
13799520,49848,1,21
6021526,358457,1,21
18076,18621974,0,24
37133,82438,0,36
17292084,39241,1,27
2244012,84934,1,21
32890,10525411,0,22
1231211,17357,1,21
2854328,2040363,1,31
328037,1238489,0,32
20264,476064,1,41
154636,19316731,0,24
36888,92745,1,33
16462,30263,0,40
320259,5522347,0,30
838036,433378,1,29
653923,14897590,0,28
16998,934868,0,22
13115117,32488,1,39
2773087,935085,1,23
10247488,6465552,1,27
1654889,44835,1,21
455480,37169,1,21
22040,5554942,0,22
123002,642819,0,22
383718,5024810,0,22
16884142,37333,1,21
1196782,297461,1,23
194156,21732,1,21
301054,3833259,0,22
69449,479024,1,21
10850244,358743,1,23
91681,241002,0,22
3231577,1808023,1,23
1799498,8603840,1,55
3840033,70163,1,25
1263702,3391354,0,36
3185842,1067384,0,60
156763,7661847,0,24
18993130,89889,1,25
239299,50457,0,34
15455,8914487,0,22
29525,105057,0,26
16629636,19016,1,23
1013045,50217,1,25
234774,79243,1,21
52680,32701,1,33
26654,3388899,0,44
1522077,883890,1,55
15307,39811,0,28
7216410,3731047,1,23
60818,19343766,0,22
45936,3504553,0,22
5776042,695256,1,27
4974820,13411103,0,22
360695,40348,1,35
20819,1701998,0,22
3342253,14754,1,21
100340,2669856,0,22
1010923,269512,1,23
231997,23359,1,21
573595,375549,1,41
3082959,407438,1,41
16593986,797145,1,23
15817,9670177,0,24
100268,4231341,0,36
274685,648218,0,34
15042296,1353826,1,21
14419545,2433931,1,21
712304,399646,1,21
641046,2259657,0,22
831545,117416,1,21
32120,34432,0,24
10163291,494472,1,21
24732,60117,0,26
80144,298769,1,27
375231,389327,1,25
36107,11147551,0,32
503688,4441471,0,34
20345,7338869,0,32
94141,2681406,1,23
238859,11555707,0,22
13760143,15262474,1,45
22365,3320632,0,24
3023579,17697695,0,34
10107329,20291,1,25
984509,41928,1,21
795295,21206,1,21
553966,10140258,0,40
3598604,73173,1,29
741419,14365161,0,22
3006817,2674800,1,49
34259,16157,1,29
74550,447654,0,22
582008,15403946,0,22
160224,199983,1,25
37929,199371,1,29
17285,23854,0,28
547515,93479,1,21
10558484,17051,1,23
305592,141714,1,21
1118882,15071,1,21
9424814,5626175,1,55
117261,35634,1,39
596614,169169,1,31
2229341,59572,1,23
123576,13174812,0,22
870381,17848082,0,32
83757,3196890,0,22
32639,941499,0,22
105098,4081002,0,28
1804017,13862197,0,22
6008727,36183,1,21
1071408,13084667,1,29
971377,2719887,0,36
200243,53139,0,42
338480,231271,0,22
12942545,7739603,1,71
2941516,1533350,1,47
249259,3463650,0,34
142186,70134,0,28
10526965,1661704,1,25
389457,513518,1,23
2099620,70238,0,38
383018,95840,1,33
59981,25837,1,29
7791725,2837514,1,39
27784,687034,0,52
2333435,574497,1,21
18620191,16755,1,25
680221,14281641,0,22
3429194,111645,1,37
16413,18599,1,69
20990,6892632,0,22
839395,1447193,0,24
37782,16657657,0,22
7359188,212484,1,21
1361588,121150,1,21
6340266,2638521,1,25
395090,511639,0,36
19426,416548,0,26
2404287,169992,1,27
2929592,94672,1,25
445983,559510,1,23
28939,55284,0,30
1898071,7064045,0,22
160999,512441,0,42
7238895,19282,1,21
35114,3875848,0,28
145727,11818650,0,24
2607903,55149,1,21
235582,24085,1,27
344165,5202756,0,22
35057,14725751,0,34
340762,176196,0,28
534883,4924002,0,22
8192487,1932151,1,25
265502,3945940,0,30
135350,382153,0,22
35230,10844911,0,28
15301750,451107,1,21
65552,10630935,0,32
17480859,57342,1,39
113615,118025,0,24
56584,943704,1,25
1888920,748709,1,21
27126,3330494,0,22
293777,9126017,0,38
968931,733978,1,21
660612,76538,1,21
84019,71282,1,29
219806,7668022,0,42
360857,11873825,0,30
35525,1029217,0,22
1028117,140874,1,21
58101,10897137,0,32
539077,11089707,0,32
4690419,20805,1,23
1428001,1921568,0,28
5902444,126228,1,27
42427,399679,0,30
267868,8318419,0,22
401157,231779,0,24
692261,14794408,1,63
152282,28103,0,34
4645024,4592254,1,41
21908,4667451,0,22
45843,13970074,0,24
37213,150665,1,25
65565,513622,1,37
33443,6440578,0,26
3150720,39105,1,21
12901081,167989,1,23
663644,213376,0,26
16489,26477,0,26
6406509,115869,1,21
372484,16115,1,23
1823363,5530553,1,43
727432,122917,1,21
143648,23364,0,46
809202,3682725,0,22
19121,8505796,0,22
110715,278970,1,27
5939788,17771,1,21
1840378,28996,1,21
67922,14477597,0,22
21765,2320876,0,22
1109581,578411,1,33
695756,659554,1,21
153685,14650,1,21
3324704,7777872,0,22
822371,78309,0,26
1671941,149727,0,78
118030,158843,1,71
6640281,58574,1,27
171966,56534,1,25
