checkpoint,rank,compute_equiv_rank,mean,stddev,iters,elapsed_seconds
checkpoint-00000-ef4215f0,1.00,4.67,1.19913,0.18027,9,2.304214792
checkpoint-00001-cd89a2ca,1.00,4.67,1.19913,0.18027,9,0.952108042
checkpoint-00002-3b8a6b7f,1.00,4.67,1.19913,0.18027,9,0.98526975
checkpoint-00003-f0fe9163,2.32,4.67,2.27054,0.45459,9,1.072188875
checkpoint-00004-605e7dbb,1.00,4.67,1.19913,0.18027,9,1.110972917
checkpoint-00005-09d1e9ec,1.00,4.67,1.19913,0.18027,9,1.027002167
checkpoint-00006-48414f5c,1.00,4.67,1.19913,0.18027,9,0.996750417
checkpoint-00007-20075edf,1.00,4.67,1.19913,0.18027,9,0.947315875
checkpoint-00008-7746707c,1.06,4.67,1.39959,0.29465,9,0.986696208
checkpoint-00009-b1121469,1.00,4.67,1.19913,0.18027,9,0.940108542
checkpoint-00010-51eb5c64,1.74,4.67,1.77485,0.42968,9,1.044616125
checkpoint-00011-567bf41b,1.00,4.67,1.19913,0.18027,9,0.943348125
checkpoint-00012-c9816aba,1.00,4.67,1.19913,0.18027,9,0.929296709
checkpoint-00013-b57bbc38,1.74,4.67,1.77485,0.42968,9,0.956062125
checkpoint-00014-87fdf207,1.74,4.67,1.77485,0.42968,9,0.896283333
checkpoint-00015-956ae463,1.00,4.67,1.19913,0.18027,9,0.913755458
checkpoint-00016-ab00c246,1.74,4.67,1.77485,0.42968,9,0.895008708
checkpoint-00017-1da80f11,3.89,4.67,3.87983,0.38989,9,1.087832708
checkpoint-00018-65dff201,3.60,4.67,3.56223,0.41100,9,1.103261416
checkpoint-00019-7a53f5b7,1.74,4.67,1.77485,0.42968,9,0.8725535
checkpoint-00020-fdb75058,1.00,4.67,1.27901,0.23346,9,0.847306292
checkpoint-00021-4a25d8e9,1.06,4.67,1.39959,0.29465,9,0.973669042
checkpoint-00022-9a712958,1.00,4.67,1.19913,0.18027,9,0.871835375
checkpoint-00023-76e842ae,1.00,4.67,1.27901,0.23346,9,0.873879125
checkpoint-00024-cc4b1eaf,1.00,4.67,1.19913,0.18027,9,1.013877708
checkpoint-00025-1a9d87b6,1.00,4.67,1.19913,0.18027,9,0.903239083
checkpoint-00026-bef2d6c1,1.99,4.67,1.99800,0.42569,9,0.796754666
checkpoint-00027-cc4ebe6f,3.23,4.67,3.22540,0.41077,9,0.676190292
checkpoint-00028-527f2754,3.23,4.67,3.22540,0.41077,9,0.683510333
checkpoint-00029-f9614f0d,2.32,4.67,2.27054,0.45459,9,0.815306375
checkpoint-00030-413b9e0e,3.23,4.67,3.22540,0.41077,9,0.58726275
checkpoint-00031-a31116d9,2.94,4.67,2.91444,0.42414,9,0.83207225
checkpoint-00032-67a272eb,3.23,4.67,3.22540,0.41077,9,0.64563075
