black_rollouts,white_rollouts,log_skill_ratio,result
1494,1924,-0.2529492655328892,0
2915,2942,-0.009219802376790109,0
16999,2429,1.9456748687765972,1
717594,3739,5.2570857535106414,1
858846,390059,0.7892916179484933,0
1092324,20478,3.97671167644121,1
2050,2333701,-7.037370905234521,0
24829,8656,1.0537596027426723,1
659155,27347,3.1823518780642295,1
2354,4405,-0.6266242505500579,0
68416,1018085,-2.7000719752752484,1
5250539,1791,7.9833118939039,1
254725,17520,2.6768414463521037,1
157719,23860,1.888611551969569,1
12936,8940,0.36947853308938294,1
7263460,1486,8.494523632015218,1
2692864,3528320,-0.27021652572456456,1
1441,5174490,-8.186158745535105,0
5274,18066082,-8.139002448681268,0
15677441,632348,3.2105382035393926,1
11537,4610,0.9173314049365955,1
3522823,7396182,-0.741701264292947,0
7032161,7331923,-0.041743772556484725,0
7258,113335,-2.748243725925441,0
49553,40457,0.20280312216279475,0
40403,1314153,-3.4820435909864003,0
5783,676594,-4.7621488092624515,0
36116,313588,-2.161344041992762,1
31533,157102,-1.605860659415962,0
844082,684017,0.21026687515981468,0
96043,12676023,-4.882671527411896,0
2779027,13893866,-1.609346581335089,0
17962,5692815,-5.758701717126538,0
16366561,184794,4.483753877733814,1
56457,2675780,-3.8585169191605804,0
1342,4639,-1.2403377872201167,0
184070,7205018,-3.667216886650965,0
2619279,32441,4.391231313130837,1
1818,39890,-3.0883886701620282,0
43976,4995627,-4.732674178172151,0
1100301,142139,2.0465336056617884,1
5163,53507,-2.338294680566991,0
2404164,23371,4.6334615754253,1
2471,1704,0.371644498599349,1
61096,24453,0.915693489805653,1
2486,2415759,-6.879093809335029,0
15753,4154440,-5.574902097505775,0
1802,1621987,-6.802510060660546,0
4086,5312492,-7.170249810953755,0
12923,8629768,-6.50396423120667,0
73408,3742975,-3.931603107240834,0
5712512,1354,8.347350961366626,1
62580,1015831,-2.7870165374792175,0
19229,4767,1.3947023799457614,1
5794173,746578,2.0491079372281877,1
10897495,9326,7.063482026905483,1
4951038,12225928,-0.9039616909334063,1
38669,647266,-2.8177190928500484,0
15982,16237,-0.015829499652706292,1
45293,50868,-0.11608154699610312,0
2196,2539,-0.1451327790752572,1
7506,4030,0.6219363247542375,1
3449,24502,-1.960670412917275,0
4423,3037,0.375948012822578,1
20022,17569,0.13069568361437484,1
3984,8357370,-7.648612723560107,0
355841,32805,2.383903059073172,1
1301809,203998,1.8533999247441784,1
6076,9962153,-7.402201907143539,0
89672,901185,-2.30755199522674,1
38073,4217,2.200381394731714,1
76675,2476692,-3.4751033677932197,0
1412,23582,-2.8154765700834314,0
16821,16094240,-6.863588617174955,0
5897,1528090,-5.557330121497091,0
104663,18766,1.7186989429115225,0
3946,220353,-4.022528398298774,0
3393974,11889,5.654143182310932,1
7203305,5098,7.2534469215069795,1
9437,1263269,-4.896819951589672,0
12768,31103,-0.8903622368479853,0
347315,9044793,-3.259712362852657,0
5215,9311674,-7.487485072314603,0
5581709,17278,5.77781626494828,1
69215,209874,-1.109289748505738,0
573368,9996,4.04934273145502,1
34445,78733,-0.826698532340777,0
3079250,27483,4.718873708120412,1
233416,11542350,-3.9009558894998944,0
945647,2678,5.866799102039365,1
179683,1357,4.885917806347083,1
1372,14103,-2.3301180114064097,0
6057539,44372,4.9164502510931705,1
13828028,16090,6.7562548649122345,1
3036509,12998,5.4536682797998255,1
75829,16228463,-5.3660411496204885,0
2645742,2070,7.1531582269747025,1
3679037,2190157,0.5186778023962366,1
38943,642880,-2.8038590430476025,1
107469,88379,0.19556804902598443,0
3090455,21964,4.946668858826006,1
16810400,7541,7.709398222258951,1
4357,28818,-1.8892164447754372,0
634037,5449335,-2.151141549508001,0
7318673,113459,4.1667427681876426,1
17822262,3711,8.47690224691758,1
1603579,55646,3.360983087817065,1
7310,16257,-0.7992803114903997,0
812046,298225,1.0017087536354092,0
26372,1605,2.799179084669074,1
200792,155460,0.255881082584391,1
53487,96526,-0.5903737683862527,1
42507,5611127,-4.8828381013561915,0
188469,7413765,-3.6721601492882323,0
5936587,3505,7.434699147611715,1
1356,7133895,-8.568073458041688,0
10401588,46889,5.401930659415641,1
12442579,3422,8.1986544844489,1
46362,4953496,-4.671368710723415,0
505263,847742,-0.5174972584274602,0
61089,215734,-1.2617143500697676,1
5565119,997630,1.7188911810419334,1
4184984,4651,6.802175909496291,1
3246,84423,-3.258416407233244,0
1040040,211316,1.5936598094563186,1
265670,60470,1.4801075628097131,0
1108908,300258,1.3064889212216333,1
18579,785685,-3.7445240381192972,0
16560382,55448,5.699322850690364,1
66647,12495,1.674081470071952,1
21466,1826530,-4.443702982897401,1
1193224,275952,1.4641872288684807,0
16649132,2238,8.914530752027797,1
84799,81075,0.04490909808211397,1
11709907,6508,7.49515832527346,1
251979,4110760,-2.7920174545318126,0
8801352,12262748,-0.3316607029009924,0
2370,3991378,-7.429001858521176,0
282720,641084,-0.8187034850054158,0
11131,2643065,-5.46996049905602,0
1380,41626,-3.4066414728669465,0
