checkpoint,games,mcts_per_nn,mcts_handicap,win_rate,wins_as_sente,wins_as_gote
checkpoint-00133-b4100aed,100,459834,10,0.96,50,46
checkpoint-00134-4343df56,100,459834,10,0.96,50,46
checkpoint-00135-b77f006b,100,459834,10,0.97,50,47
checkpoint-00136-821ed147,100,459834,10,0.96,48,48
checkpoint-00137-fe781108,100,459834,10,0.94,50,44
checkpoint-00138-025ee6fd,100,459834,10,0.98,50,48
checkpoint-00139-a9bef3e5,100,459834,10,0.96,50,46
checkpoint-00140-581a09ad,100,459834,10,0.94,50,44
checkpoint-00141-5c36a3f5,100,459834,10,0.96,49,47
checkpoint-00142-80bef072,100,459834,10,1,50,50
